itag;type;url;s;*Extension;*MimeType;*PlayerVersion;bitrate;projection_type;index;init;clen;lmt;xtags;*AudioCodec;*ArgumentLeftovers;VideoID;ArgCount
140;"audio/mp4| codecs=""mp4a.40.2""";https://r8---sn-nfpnnjvh-9anz.googlevideo.com/videoplayback?id=o-AETvwi9_zUKS2ZIMcnsKF0F8qVLowIbw4ixr1JXhRe5W&dur=348.531&source=youtube&keepalive=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&requiressl=yes&lmt=1482668643449031&itag=140&ipbits=0&initcwndbps=7198750&expire=1496289822&mime=audio/mp4&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&gir=yes&ei=vj0vWb6DBJSiWIfBsugC&ms=au&mt=1496268144&pl=45&mv=m&clen=5536158&signature=4AE61F21B01B0414637057AF9D548438F097853B.55391A7E49367E6CFFC1CC375BCA49900E7C7036&key=yt6&mm=31&mn=sn-nfpnnjvh-9anz;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;127880;1;592 - 1043;0 - 591;5536158;1.48E+15;;mp4a.40.2;;xgBGibfLD-U;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r8---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?mv=m&dur=857.652&mt=1496268144&itag=140&ms=au&initcwndbps=7623750&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2,pl,requiressl,source,expire&id=o-AMVMp16s1sAsvgvGLwvbrbMFOVQFbNjDlErUCg20oQHD&mn=sn-nfpnnjvh-9ans&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&mm=31&ipbits=0&lmt=1490167047664453&expire=1496289822&pl=45&keepalive=yes&requiressl=yes&gir=yes&mime=audio/mp4&source=youtube&clen=13622227&signature=B2D0F7869F29FE469572B1BBB0422645671AE780.53637303E1CAE8649510AB5913DB06649D1F8405&ei=vj0vWa7wHJOfWq_rhNAE&pcm2=no&key=yt6;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128426;1;592 - 1655;0 - 591;13622227;1.49E+15;;mp4a.40.2;;NgbK43jB4rQ;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r2---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?mn=sn-nfpnnjvh-9an6&mm=31&keepalive=yes&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&mv=m&mt=1496268144&itag=140&ms=au&initcwndbps=6627500&requiressl=yes&ipbits=0&signature=0B9484E39ABA17CD80E8746F1B9AFAC87A9274A6.E4233D761DD6CFAAC76A6A84C568BECE1681E16D&pcm2cms=yes&gir=yes&id=o-ACHEXxUzT6pFfdE5ohTCb8nSBlIbxKy3cCveJNsNHDCb&ei=vj0vWc2gNYXeW5rDhegP&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&key=yt6&dur=503.455&source=youtube&lmt=1492566323823126&pl=45&mime=audio/mp4&expire=1496289822&clen=7996774;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128087;1;592 - 1235;0 - 591;7996774;1.49E+15;;mp4a.40.2;;#NAME?;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r5---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?lmt=1429416680965610&key=yt6&itag=140&beids=[9466593]&keepalive=yes&signature=C0B205DD5EDE3E0C1468B9106565BDF806F662B5.30ED19BCEEFD494767B1967E47976FABBC47BD42&requiressl=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&mv=m&mt=1496268144&ms=au&mn=sn-nfpnnjvh-9ans&mm=31&pl=45&mime=audio/mp4&id=o-AJgLg7CJnkVni6VsXbTaenOB5nIKutVzVVLIlQWlUeNM&ipbits=0&expire=1496289823&dur=550.661&initcwndbps=7623750&ei=vz0vWZzzCYHxWI3aoPAH&clen=8840966&source=youtube&gir=yes&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;129681;1;592 - 1295;0 - 591;8840966;1.43E+15;;mp4a.40.2;;NGMRB4O922I;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r6---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?gir=yes&mime=audio/mp4&pcm2cms=yes&initcwndbps=6627500&requiressl=yes&pcm2=yes&signature=68C3EFC92091D66E6CE90B0EE4A15C8A9A43932D.B1C55B6B8E951CE94444FF75AD1AE1002BAEA340&key=yt6&lmt=1488364592688006&expire=1496289823&ipbits=0&dur=548.107&source=youtube&ei=vz0vWbeRJJeYWrTTpJgH&itag=140&pl=45&ms=au&mt=1496268144&mv=m&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2,pcm2cms,pl,requiressl,source,expire&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&clen=8705901&id=o-AGMUVdPb33sxzuslh1t5X2Ih4uGAqmrvIuu48pL999aw&keepalive=yes&mm=31&mn=sn-nfpnnjvh-9an6;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128139;1;592 - 1283;0 - 591;8705901;1.49E+15;;mp4a.40.2;;xhj5er1k6GQ;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r7---sn-nfpnnjvh-9anz.googlevideo.com/videoplayback?ei=wD0vWeW9AsiHWfe5u6AO&gir=yes&clen=12156558&keepalive=yes&mime=audio/mp4&itag=140&key=yt6&initcwndbps=7198750&lmt=1438319849303410&ipbits=0&source=youtube&expire=1496289824&signature=1F9D9611D6D1A55FA0B177106883D3858C9E561B.28AED34B0E38DCAC6CBD4585E6EF07CFFF51C7CE&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&beids=[9466592]&mm=31&mn=sn-nfpnnjvh-9anz&pl=45&id=o-AJVzH5522N57YApsSC8GBZbysaaoo0kG5VaJLyQ8Wo0j&requiressl=yes&dur=1023.047&mt=1496268144&mv=m&ms=au&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;96633;1;592 - 1859;0 - 591;12156558;1.44E+15;;mp4a.40.2;;d6c6uIyieoo;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r2---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?key=yt6&ipbits=0&initcwndbps=7623750&pl=45&source=youtube&lmt=1432352613476398&expire=1496289824&mm=31&mn=sn-nfpnnjvh-9ans&gir=yes&mime=audio/mp4&signature=AD273BFE44E0CE4E5B5717AEE07B01478CC03482.3B474A2C74D206F63D5F726528D4AD5DD697634B&id=o-AGsC0eJOsnRBZ7jxH-105DNRjVE9rLbAOtPSfLTMQcpN&dur=1118.528&mt=1496268144&mv=m&ms=au&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&clen=17765109&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&keepalive=yes&itag=140&ei=wD0vWbT5F8LiWe-kn4gM&requiressl=yes;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128689;1;592 - 1967;0 - 591;17765109;1.43E+15;;mp4a.40.2;;gjVDqfUhXOY;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r6---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?mv=m&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&mt=1496268144&ms=au&pl=45&mime=audio/mp4&id=o-AJlcN67sad7d9c23iARv0CZ5kjxZQjG1KWKIH8aiww6u&gir=yes&mn=sn-nfpnnjvh-9an6&key=yt6&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&mm=31&ipbits=0&lmt=1429875385341636&initcwndbps=6627500&source=youtube&clen=4865465&dur=403.585&expire=1496289824&ei=wD0vWdONKtGYWP2Us9AL&requiressl=yes&signature=A43409ADAAC422B4F09703FF5BB963172319080C.323C55638933E84870A651B865F649A043D94ECD&itag=140&pcm2cms=yes&keepalive=yes;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;97378;1;592 - 1115;0 - 591;4865465;1.43E+15;;mp4a.40.2;;RkBl7WKzzRw;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r6---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?ipbits=0&requiressl=yes&clen=10430742&mime=audio/mp4&expire=1496289825&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&gir=yes&mn=sn-nfpnnjvh-9ans&mm=31&signature=5D0EABDB0801F45CE063C7073A198C2A5CA9BF2F.0F3659AC789032B72DA4819574CDF5CD0CE40AC9&key=yt6&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&dur=656.706&keepalive=yes&pl=45&source=youtube&ms=au&ei=wT0vWf6oDZSlWISFttgK&id=o-ACar_Uoxe5oMhXSwPaeh999A3wMHdRhAMJ7eA9kKmaqL&mv=m&mt=1496268144&itag=140&lmt=1489819622333416&initcwndbps=7623750;;.mp4;audio/mp4;/yts/jsbin/player-en_US-vflDmabfQ/base.js;128283;1;592 - 1415;0 - 591;10430742;1.49E+15;;mp4a.40.2;;MXJ-zpJeY3E;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r1---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?lmt=1495984725733971&mv=m&ei=wT0vWf-MKcTsWKrAvdAN&requiressl=yes&key=yt6&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&mt=1496268144&gir=yes&ms=au&mm=31&mn=sn-nfpnnjvh-9an6&id=o-ADkJcbV5qepbkKO92EbZoP5l2zu0aFk0uBfvOWmJgNwT&signature=AD25FE4C1EE04CEF7EE9C4D58365D754FBB4A589.67163400AF78BEFD46263DE66BA13184B790FBEE&pcm2cms=yes&clen=6271197&ipbits=0&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&initcwndbps=6627500&dur=394.808&pl=45&itag=140&source=youtube&keepalive=yes&expire=1496289825&mime=audio/mp4;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128078;1;592 - 1103;0 - 591;6271197;1.50E+15;;mp4a.40.2;;PEMIxDjSRTQ;0
